50 37285 -19.04 2.00967
150 278220 -13.96 3.21901
250 670435 -12.53 3.80976
350 1.11778e+06 -9.26 4.09636
450 1.61511e+06 -7.85 3.72644
550 2.13402e+06 -9.69 3.83154
650 2.64488e+06 -7.98 5.29337
750 3.19747e+06 -8.47 4.7873
850 3.73748e+06 -9.28 4.5195
950 4.30521e+06 -7.48 5.01207
1050 4.95518e+06 -3.11 5.91505
1150 5.69336e+06 -1.08 5.77119
1250 6.43188e+06 0.66 6.11542
1350 7.19679e+06 -0.96 5.40841
1450 7.99145e+06 -0.43 6.44362
1550 8.76314e+06 2.77 5.64587
1650 9.56552e+06 0.04 5.72416
1750 1.03183e+07 0.7 6.29012
1850 1.11091e+07 1.93 5.84005
1950 1.18819e+07 0.75 6.05259
2050 1.27265e+07 4.02 5.65682
2150 1.36183e+07 4.11 4.64692
2250 1.44937e+07 5.26 4.86716
2350 1.53494e+07 4.27 5.37644
2450 1.61567e+07 6.36 5.66314
2550 1.69924e+07 7.3 4.42787
2650 1.78506e+07 6.87 5.07251
2750 1.86946e+07 5.97 5.16878
2850 1.949e+07 6.88 4.76155
2950 2.02942e+07 6.32 4.96224
3050 2.11459e+07 8.1 4.89589
3150 2.19787e+07 8.29 4.33752
3250 2.28216e+07 8.23 4.54574
3350 2.36837e+07 8.68 5.16765
3450 2.44523e+07 10.71 3.81992
3550 2.51967e+07 9.04 3.78172
3650 2.59784e+07 9.52 3.70225
3750 2.67137e+07 9.34 4.65848
3850 2.7448e+07 9.66 4.11997
3950 2.82077e+07 10.23 3.88692
4050 2.8962e+07 11.07 3.42968
4150 2.96541e+07 12.07 3.53412
4250 3.03361e+07 11.56 3.45043
4350 3.10597e+07 11.04 4.17283
4450 3.17546e+07 11.56 3.90628
4550 3.24738e+07 10.73 3.90507
4650 3.3166e+07 11.1 3.38595
4750 3.38906e+07 11.37 3.51808
4850 3.45908e+07 11.14 3.6736
4950 3.53223e+07 11.01 3.50611
5050 3.60544e+07 11.57 3.54553
5150 3.67518e+07 11.22 3.91985
5250 3.7482e+07 12.22 3.08656
5350 3.81993e+07 11.51 3.31661
5450 3.88833e+07 12.53 3.58012
5550 3.95918e+07 11.57 3.53698
5650 4.03094e+07 12.01 3.21139
5750 4.09912e+07 11.7 3.51188
5850 4.17336e+07 11.45 3.9629
5950 4.24433e+07 11.88 3.14395
6050 4.31449e+07 11.33 3.20371
6150 4.3855e+07 10.84 3.49233
6250 4.45715e+07 10.85 3.94501
6350 4.53023e+07 12.61 3.05139
6450 4.59922e+07 11.72 3.11426
6550 4.67403e+07 11.26 3.68074
6650 4.74634e+07 11.45 3.73727
6750 4.82069e+07 12.05 3.77224
6850 4.88999e+07 12.35 3.10872
6950 4.95917e+07 12.34 3.26976
7050 5.02573e+07 12.6 3.38147
7150 5.09748e+07 12.52 3.03008
7250 5.1672e+07 12.12 3.10841
7350 5.23708e+07 12.27 2.87397
7450 5.30867e+07 12.44 3.08898
7550 5.37935e+07 11.47 3.60262
7650 5.4495e+07 12.03 3.79648
7750 5.52112e+07 11.73 3.12001
