0 -21.0 447
1 -20.0 1109
2 -20.0 1596
3 -21.0 1983
4 -21.0 2492
5 -21.0 3001
6 -20.0 3589
7 -21.0 4098
8 -21.0 4847
9 -21.0 5234
10 -21.0 5621
11 -21.0 6128
12 -21.0 6697
13 -21.0 7265
14 -21.0 7833
15 -20.0 8484
16 -21.0 9054
17 -21.0 9807
18 -21.0 10314
19 -21.0 10701
20 -21.0 11268
21 -21.0 11777
22 -21.0 12347
23 -21.0 12794
24 -21.0 13241
25 -21.0 13628
26 -21.0 14076
27 -21.0 14463
28 -21.0 14910
29 -21.0 15479
30 -21.0 15866
31 -21.0 16253
32 -21.0 16941
33 -20.0 17716
34 -21.0 18223
35 -21.0 18791
36 -21.0 19418
37 -21.0 20045
38 -21.0 20614
39 -20.0 21336
40 -21.0 21723
41 -21.0 22170
42 -21.0 22557
43 -21.0 23244
44 -21.0 23751
45 -20.0 24518
46 -19.0 25424
47 -21.0 26054
48 -21.0 26441
49 -21.0 26949
50 -21.0 27398
51 -21.0 27785
52 -21.0 28292
53 -21.0 28679
54 -20.0 29206
55 -20.0 29918
56 -21.0 30427
57 -21.0 31118
58 -20.0 32069
59 -21.0 32636
60 -21.0 33085
61 -21.0 33472
62 -20.0 33999
63 -21.0 34868
64 -21.0 35555
65 -20.0 36326
66 -21.0 36773
67 -21.0 37221
68 -21.0 37728
69 -21.0 38115
70 -21.0 38682
71 -20.0 39206
72 -20.0 39855
73 -21.0 40363
74 -21.0 40930
75 -21.0 41317
76 -21.0 41704
77 -21.0 42275
78 -21.0 42782
79 -21.0 43169
80 -21.0 43796
81 -21.0 44183
82 -21.0 44752
83 -19.0 45535
84 -21.0 46166
85 -21.0 46553
86 -21.0 46940
87 -21.0 47327
88 -21.0 47896
89 -20.0 48482
90 -21.0 48991
91 -21.0 49378
92 -20.0 49902
93 -19.0 50686
94 -21.0 51436
95 -21.0 51883
96 -21.0 52571
97 -21.0 53260
98 -21.0 53647
99 -21.0 54096
100 -21.0 54483
101 -21.0 54870
102 -21.0 55379
103 -21.0 55826
104 -21.0 56213
105 -21.0 56600
106 -21.0 56987
107 -21.0 57374
108 -21.0 57761
109 -21.0 58270
110 -21.0 58717
111 -21.0 59104
112 -21.0 59553
113 -21.0 59940
114 -21.0 60327
115 -21.0 60714
116 -21.0 61162
117 -21.0 61549
118 -20.0 62136
119 -21.0 62768
120 -21.0 63155
121 -21.0 63542
122 -21.0 64109
123 -21.0 64558
124 -21.0 65187
125 -21.0 65574
126 -21.0 66083
127 -21.0 66532
128 -21.0 66919
129 -21.0 67306
130 -21.0 67693
131 -21.0 68200
132 -21.0 68587
133 -19.0 69253
134 -19.0 70043
135 -21.0 70551
136 -21.0 71000
137 -21.0 71387
138 -21.0 71894
139 -20.0 72553
140 -21.0 73181
141 -21.0 73568
142 -21.0 73955
143 -21.0 74342
144 -21.0 74729
145 -21.0 75116
146 -21.0 75503
147 -21.0 75890
148 -21.0 76277
149 -21.0 76664
150 -21.0 77051
151 -21.0 77438
152 -21.0 77825
153 -21.0 78334
154 -21.0 78721
155 -21.0 79108
156 -21.0 79495
157 -21.0 79882
158 -21.0 80331
159 -21.0 80718
160 -21.0 81105
161 -21.0 81492
162 -21.0 81879
163 -21.0 82266
164 -21.0 82653
165 -21.0 83040
166 -21.0 83427
167 -21.0 83814
168 -21.0 84201
169 -21.0 84588
170 -21.0 85036
171 -21.0 85483
172 -20.0 85948
173 -21.0 86395
174 -21.0 86782
175 -21.0 87169
176 -21.0 87919
177 -21.0 88306
178 -21.0 88693
179 -21.0 89080
180 -21.0 89527
181 -21.0 89914
182 -21.0 90301
183 -21.0 90688
184 -21.0 91075
185 -20.0 91720
186 -21.0 92107
187 -21.0 92494
188 -21.0 92881
189 -21.0 93268
190 -21.0 93655
191 -21.0 94042
192 -20.0 94589
193 -21.0 94976
194 -21.0 95485
195 -21.0 95872
196 -21.0 96259
197 -21.0 96646
198 -21.0 97033
199 -21.0 97420
200 -21.0 97807
201 -21.0 98194
202 -21.0 98703
203 -21.0 99090
204 -21.0 99537
205 -21.0 99924
206 -21.0 100311
207 -21.0 100698
208 -21.0 101085
209 -21.0 101594
210 -21.0 101981
211 -21.0 102368
212 -21.0 102816
213 -21.0 103203
214 -21.0 103590
215 -21.0 103977
216 -21.0 104364
217 -21.0 104751
218 -20.0 105237
219 -21.0 105684
220 -21.0 106192
221 -21.0 106579
222 -21.0 106966
223 -21.0 107353
224 -21.0 107740
225 -21.0 108127
226 -21.0 108574
227 -21.0 108961
228 -21.0 109348
229 -21.0 109735
