1 2.3117 0.1003 2.3113 0.088
2 2.3051 0.1027 2.316 0.0814
3 2.3031 0.1053 2.3163 0.0377
4 2.3015 0.1107 2.3089 0.0615
5 2.2983 0.1133 2.3252 0.0713
6 2.2941 0.1215 2.3155 0.0687
7 2.289 0.1228 2.3135 0.0752
8 2.2806 0.1306 2.3344 0.0971
9 2.2714 0.1372 2.3252 0.0914
10 2.2606 0.144 2.3358 0.0979
11 2.2506 0.1542 2.3385 0.0835
12 2.2395 0.1572 2.3504 0.101
13 2.229 0.164 2.3527 0.1018
14 2.2142 0.1722 2.3568 0.1126
15 2.2003 0.1779 2.3826 0.1096
16 2.1889 0.1868 2.4032 0.0839
17 2.1774 0.1888 2.3885 0.0966
18 2.1618 0.1957 2.4355 0.0923
19 2.1498 0.2017 2.4167 0.1007
20 2.1381 0.2087 2.4183 0.1053
21 2.1249 0.214 2.4631 0.0989
22 2.112 0.2189 2.4569 0.0905
23 2.1005 0.2244 2.4624 0.1048
24 2.0891 0.2293 2.487 0.095
25 2.0731 0.2355 2.4866 0.1084
26 2.0647 0.2396 2.5385 0.0991
27 2.0524 0.2434 2.5889 0.1021
28 2.0405 0.2511 2.5158 0.1103
29 2.0317 0.2531 2.5268 0.1024
30 2.0233 0.2555 2.5651 0.0932
31 2.0139 0.2607 2.5827 0.0995
32 2.0035 0.2644 2.5976 0.1046
33 1.9933 0.2693 2.6241 0.1029
34 1.9845 0.272 2.6199 0.1006
35 1.9777 0.2748 2.6649 0.1098
36 1.9664 0.2818 2.7001 0.0989
37 1.9582 0.2834 2.6728 0.098
38 1.9504 0.2878 2.6526 0.0978
39 1.9444 0.2887 2.6728 0.1118
40 1.9348 0.295 2.7703 0.0997
41 1.934 0.2948 2.7572 0.0915
42 1.9231 0.2995 2.75 0.0985
43 1.9146 0.3018 2.7384 0.106
44 1.9109 0.3039 2.7945 0.0936
45 1.9029 0.3084 2.7926 0.1008
46 1.8977 0.3083 2.7956 0.0962
47 1.8937 0.3126 2.805 0.1065
48 1.8827 0.3154 2.8 0.1054
49 1.8815 0.3156 2.8645 0.1025
50 1.8702 0.3203 2.8975 0.1037
51 1.8672 0.3209 2.8572 0.1056
52 1.8622 0.3254 2.8949 0.0994
53 1.8584 0.3253 2.8788 0.0963
54 1.853 0.3294 2.8744 0.1036
55 1.8477 0.3296 2.9168 0.0997
56 1.8426 0.3326 2.9473 0.104
57 1.8416 0.3313 2.9723 0.0996
58 1.8286 0.3372 2.9407 0.1048
59 1.8323 0.3387 2.929 0.0988
60 1.8243 0.3405 2.8997 0.1025
61 1.8206 0.3426 2.9341 0.108
62 1.8089 0.3459 2.9091 0.1064
63 1.813 0.3417 2.8804 0.1028
64 1.8063 0.3476 2.9637 0.119
65 1.7968 0.3501 3.0183 0.1002
66 1.7984 0.3512 3.0313 0.0981
67 1.7884 0.3537 3.1175 0.0932
68 1.7872 0.3529 3.0994 0.0933
69 1.792 0.3565 2.9791 0.1047
70 1.7806 0.3565 3.067 0.0892
71 1.7765 0.3572 3.156 0.1042
72 1.7764 0.3612 3.0455 0.0987
73 1.7694 0.363 3.066 0.0987
74 1.7721 0.363 3.0233 0.0956
75 1.7627 0.3634 3.0961 0.098
76 1.7625 0.3669 3.1952 0.0938
77 1.7549 0.3684 3.1755 0.0928
78 1.7597 0.3668 3.1933 0.1044
79 1.7506 0.3714 3.2397 0.09
80 1.7534 0.3692 3.1722 0.0953
81 1.743 0.3731 3.2026 0.095
82 1.7437 0.3745 3.1719 0.0946
83 1.7461 0.3745 3.1942 0.0922
84 1.7371 0.3768 3.2074 0.0969
85 1.7399 0.3766 3.2273 0.0956
86 1.7291 0.3797 3.1635 0.0986
87 1.7325 0.3799 3.1806 0.0979
88 1.732 0.3802 3.2763 0.0967
89 1.7252 0.3828 3.286 0.0895
90 1.731 0.3786 3.2244 0.1001
91 1.7241 0.3836 3.2355 0.1015
92 1.7229 0.3855 3.2691 0.0964
93 1.72 0.3874 3.1455 0.1062
94 1.7191 0.3882 3.2451 0.0978
95 1.7208 0.3896 3.3647 0.0949
96 1.7161 0.388 3.2802 0.0947
97 1.7169 0.3888 3.295 0.0901
98 1.7083 0.391 3.2423 0.0996
99 1.7093 0.3935 3.2887 0.0956
100 1.7094 0.387 3.3631 0.0975
101 1.7144 0.3899 3.3105 0.096
102 1.7068 0.3931 3.3678 0.0921
103 1.7092 0.3904 3.206 0.097
104 1.6986 0.3953 3.3733 0.0971
105 1.6998 0.3956 3.302 0.0938
106 1.6983 0.3972 3.4639 0.0944
107 1.6953 0.3946 3.3066 0.1003
108 1.6958 0.4014 3.3799 0.0979
109 1.6975 0.3987 3.3257 0.105
110 1.6984 0.398 3.3229 0.0998
111 1.6941 0.3983 3.3637 0.0951
112 1.6849 0.4 3.4108 0.0925
113 1.6831 0.4016 3.4629 0.0963
114 1.6865 0.4017 3.423 0.1022
115 1.6868 0.404 3.3441 0.1042
116 1.6807 0.4043 3.5096 0.093
117 1.685 0.4058 3.3233 0.1006
118 1.6774 0.406 3.4628 0.0914
119 1.6849 0.4032 3.4759 0.1022
120 1.6775 0.4059 3.4001 0.1004
121 1.6775 0.4083 3.4289 0.0946
122 1.6711 0.4089 3.4134 0.0927
123 1.6771 0.4091 3.4298 0.0979
124 1.6729 0.4067 3.4781 0.0931
125 1.6775 0.4101 3.5554 0.0985
126 1.6636 0.4095 3.5047 0.0911
127 1.667 0.4112 3.3642 0.1013
128 1.6719 0.4101 3.5065 0.0993
129 1.6677 0.4121 3.4591 0.0951
130 1.6612 0.4127 3.4694 0.1015
131 1.6681 0.4142 3.4154 0.0973
