1 0.2467 0.9237 0.1371 0.9585
2 0.1035 0.9689 0.0943 0.9709
3 0.0744 0.9777 0.0768 0.9781
4 0.0606 0.9817 0.0776 0.9806
5 0.0514 0.9846 0.0716 0.9822
6 0.0429 0.9874 0.0942 0.9762
7 0.0405 0.9883 0.0759 0.9829
8 0.0342 0.9898 0.0887 0.9804
9 0.0322 0.9904 0.0803 0.9832
10 0.0290 0.9918 0.0853 0.9824
11 0.0254 0.9927 0.0898 0.9835
12 0.0259 0.9930 0.0986 0.9817
13 0.0241 0.9933 0.0972 0.9829
14 0.0220 0.9937 0.0985 0.9834
15 0.0213 0.9941 0.1120 0.9824
16 0.0213 0.9942 0.0974 0.9845
17 0.0200 0.9945 0.1052 0.9844
18 0.0208 0.9947 0.1060 0.9832
19 0.0186 0.9952 0.1193 0.9831
20 0.0193 0.9950 0.1109 0.9823
